docname	wiki	rank
anti_americanism_4.html	Ukrainian_Soviet_Republic	19
anti_americanism_4.html	Ukrainian_War_of_Independence	20
anti_americanism_2.html	List_of_organizations_designated_by_the_Southern_Poverty_Law_Center_as_hate_groups	1
anti_americanism_2.html	A_People's_History_of_the_United_States	2
anti_americanism_2.html	Anti-Americanism	3
anti_americanism_2.html	Arab–American_relations	4
anti_americanism_2.html	September_11_attacks	5
anti_americanism_2.html	Internationalism_(politics)	6
anti_americanism_2.html	Ekal_Vidyalaya	7
anti_americanism_2.html	Racism_and_ethnic_discrimination_in_the_United_States	8
anti_americanism_2.html	Hebrew_University_bombing	9
anti_americanism_2.html	Anti-Japanese_sentiment	10
anti_americanism_2.html	Hate_group	11
anti_americanism_2.html	Beliefs_and_ideology_of_Osama_bin_Laden	12
anti_americanism_2.html	Brigitte_Gabriel	13
anti_americanism_2.html	Durban_III	14
anti_americanism_2.html	Fighting_Discrimination	15
anti_americanism_2.html	History_of_U.S._foreign_policy	16
anti_americanism_2.html	2010_Zahedan_bombings	17
anti_americanism_2.html	Hatred	18
anti_americanism_2.html	Prophecy_from_Kremna	19
anti_americanism_2.html	Post–September_11_anti-war_movement	20
anti_americanism_5.html	Anti-Americanism	1
anti_americanism_5.html	Foundations_of_Geopolitics	2
anti_americanism_5.html	Anti-American_sentiment_in_Russia	3
anti_americanism_5.html	Anastasy_Vonsyatsky	4
anti_americanism_5.html	France–United_States_relations	5
anti_americanism_5.html	Alexander_Stephan	6
anti_americanism_5.html	The_Class_Struggle_(magazine)	7
anti_americanism_5.html	Anti-Europeanism	8
anti_americanism_5.html	Red_Scare	9
anti_americanism_5.html	Red-green-brown_alliance	10
anti_americanism_5.html	Overman_Committee	11
anti_americanism_5.html	Anti-Sovietism	12
anti_americanism_5.html	Andreas_Umland	13
anti_americanism_5.html	Angela_Merkel	14
anti_americanism_5.html	Wikipedia:0.7/0.7index/Politics	15
anti_americanism_5.html	Wikipedia:List_of_controversial_issues	16
anti_americanism_5.html	Andrei_Markovits	17
anti_americanism_5.html	Far-left_politics	18
anti_americanism_5.html	Wikipedia:Votes_for_deletion/Pro-American_sentiment	19
anti_americanism_5.html	Fellow_traveler	20
anti_americanism_12.html	Antisemitism_in_the_anti-globalization_movement	1
anti_americanism_12.html	New_antisemitism	2
anti_americanism_12.html	Post–September_11_anti-war_movement	3
anti_americanism_12.html	Arab–American_relations	4
anti_americanism_12.html	Euston_Manifesto	5
anti_americanism_12.html	Hatred	6
anti_americanism_12.html	Jamie_Glazov	7
anti_americanism_12.html	Hating_America:_The_New_World_Sport	8
anti_americanism_12.html	Anti-Americanism	9
anti_americanism_12.html	History_of_the_socialist_movement_in_the_United_States	10
anti_americanism_12.html	Redwatch	11
anti_americanism_12.html	Left_in_Dark_Times:_A_Stand_Against_the_New_Barbarism	12
anti_americanism_12.html	Pamela_Geller	13
anti_americanism_12.html	Red_Scare	14
anti_americanism_12.html	Masada2000	15
anti_americanism_12.html	Americanism_(ideology)	16
anti_americanism_12.html	Progressive_Jewish_Thought_and_the_New_Anti-Semitism	17
anti_americanism_12.html	Paul_Burgess_(speechwriter)	18
anti_americanism_12.html	Antisemitic_incidents_during_the_Gaza_War	19
anti_americanism_12.html	Far-left_politics	20
anti_americanism_6.html	Conservatism_in_North_America	1
anti_americanism_6.html	Christian_democracy	2
anti_americanism_6.html	Latin_America–United_States_relations	3
anti_americanism_6.html	History_of_Latin_America	4
anti_americanism_6.html	Liberalism_by_country	5
anti_americanism_6.html	Liberal_conservatism	6
anti_americanism_6.html	Foreign_relations_of_Mexico	7
anti_americanism_6.html	Canada–Latin_America_relations	8
anti_americanism_6.html	History_of_Mexico	9
anti_americanism_6.html	Wikipedia:0.7/0.7index/Politics	10
anti_americanism_6.html	Latin_America	11
anti_americanism_6.html	Cuban_American	12
anti_americanism_6.html	Hispanic_and_Latino_Americans	13
anti_americanism_6.html	Right-wing_political_parties	14
anti_americanism_6.html	Liberalism	15
anti_americanism_6.html	Political_colour	16
anti_americanism_6.html	Wikipedia:WikiProject_Conservatism/Incubator/Timeline_of_conservatism	17
anti_americanism_6.html	Anti-clericalism_in_Latin_America	18
anti_americanism_6.html	List_of_Christian_democratic_parties	19
anti_americanism_6.html	Conservatism	20
berlin_wall_8.html	Berlin_Wall	1
berlin_wall_8.html	Eastern_Bloc_emigration_and_defection	2
berlin_wall_8.html	Inner_German_border	3
berlin_wall_8.html	Iron_Curtain	4
berlin_wall_8.html	Berlin_Crisis_of_1961	5
berlin_wall_8.html	List_of_deaths_at_the_Berlin_Wall	6
berlin_wall_8.html	Steinstücken	7
berlin_wall_8.html	Escape_attempts_and_victims_of_the_inner_German_border	8
berlin_wall_8.html	Checkpoint_Charlie	9
berlin_wall_8.html	West_Berlin	10
berlin_wall_8.html	Development_of_the_inner_German_border	11
berlin_wall_8.html	Killing_of_Peter_Fechter	12
berlin_wall_8.html	Berlin_border_crossings	13
berlin_wall_8.html	Crossing_the_inner_German_border	14
berlin_wall_8.html	Fall_of_the_inner_German_border	15
berlin_wall_8.html	Schießbefehl	16
berlin_wall_8.html	Berlin_Friedrichstraße_station	17
berlin_wall_8.html	East_Germany	18
berlin_wall_8.html	Republikflucht	19
berlin_wall_8.html	Walter_Ulbricht	20
berlin_wall_3.html	West_Berlin	1
berlin_wall_3.html	East_Berlin	2
berlin_wall_3.html	Berlin_Wall	3
berlin_wall_3.html	Berlin_Crisis_of_1961	4
berlin_wall_3.html	Checkpoint_Charlie	5
berlin_wall_3.html	History_of_Berlin	6
berlin_wall_3.html	East_Germany	7
berlin_wall_3.html	Development_of_the_inner_German_border	8
berlin_wall_3.html	Steinstücken	9
